human	mouse	weight
5747	14083	0.6252149827434048
3667	16367	0.5221268923887551
6929	21406	0.1925255072971752
4692	17984	0.16428873942350444
7531	22627	0.1483530974592317
3717	20779	0.10885192637132586
2260	21687	0.09487822252279784
3399	15903	0.0924361765092853
3643	11350	0.06560862924631529
3552	13555	0.05581581803621563
596	12048	0.05498755196476223
8651	13644	0.049971124495689336
4066	21349	0.04685895939769974
3984	110157	0.03720003028304059
3791	26400	0.023090932587844813
7329	22195	0.021940212350107492
5599	18754	0.020865323523819434
10971	225870	0.020079684935538474
23598	20683	0.017849576051570303
9463	94221	0.016580869194603418
4790	20466	0.015382597229692345
4904	233908	0.01518692397548332
6386	72088	0.014684074879184933
7409	20416	0.01438225485964117
2224	19303	0.014281429455840395
3339	140559	0.01334948199711725
9464	15904	0.012662775334471936
8683	20382	0.012659834631071176
3084	15461	0.01208610641996068
4301	17475	0.011529832624220741
23390	216963	0.010480476133370838
6720	17125	0.009186484150449334
2897	12737	0.008421076196255534
2898	22295	0.008323299161046252
11337	14786	0.008217148940323838
2252	12520	0.007822190186990055
308	50915	0.006568733880692268
6606	12125	0.00552282488742087
2547	16331	0.004553841552314513
355	30957	0.004023909115004583
4000	243833	0.003046301649280897
2099	14105	0.0017574354705251368
613	14370	0.001688989717158106
3064	56717	0.0009386127826308411
1616	21804	0.0008029110913097501
4286	24105	0.0004987480331156973
7341	23807	0.00046481671407827834
10401	108086	0.00044070793960053397
10419	18854	0.000162517164858924
10049	14367	6.606167192995259e-05
