human	mouse	weight
14828	1465	0.3297778319301897
11666	10755	0.3297778319301897
217578	22950	0.16488891596509486
27096	153	0.16488891596509486
21677	377	0.13995201200741078
64930	1600	0.12011329913993066
16854	6416	0.11963285481911949
53424	409	0.11613116464555556
15185	351	0.10519891927001176
18786	421	0.10048668175022603
84092	23647	0.09940833822586995
93762	7295	0.09828806662113893
56210	7273	0.09171846421910783
17349	6635	0.08278373558741389
15505	25804	0.08278373558741389
14163	27258	0.08278373558741389
13017	23658	0.08278373558741389
22330	405	0.0795350290034007
67155	23163	0.07406059029354287
18193	672	0.07399794076723817
23885	338	0.06131348425277892
13385	6521	0.0604232209416844
12695	1017	0.05995746999614105
71766	2885	0.04782651370559381
22778	1956	0.046282717304167297
16348	767	0.04585648048095362
13131	2033	0.040590250709137125
22099	1277	0.037533924292054495
19299	4171	0.03711815488165538
433759	27236	0.036041337812683816
17927	1499	0.03471014248932974
60409	823	0.031289542114782326
20586	4926	0.026040694464374108
18627	6774	0.025247573435481348
21417	333	0.02390567860605055
52432	2318	0.02344765383948084
22142	5111	0.022454947093774658
15165	9146	0.019434076541209978
22601	5925	0.018322772491198958
99152	4999	0.01755303262475021
22631	375	0.016794241440889295
24069	1387	0.01630174733107474
19893	5371	0.01598712093782923
245828	4172	0.015430660329331795
12952	4088	0.012928936677103625
66682	896	0.012289951960413985
14812	3708	0.011559386392241364
18538	580	0.011539973686635537
98376	998	0.011324419357086484
20181	6117	0.01112829855660962
