human	mouse	weight
2099	53424	0.08488940353669767
1956	18708	0.06853428986904325
2033	12695	0.05059580192516607
672	15260	0.044182833905057596
596	433759	0.039669411802897105
1017	22195	0.037332238398667894
405	20779	0.03151530752254763
7329	64930	0.030342551373984603
2885	21687	0.02613231404704282
1387	16476	0.02405264414763448
2547	12387	0.022432357239826808
10287	15903	0.021142462536772835
351	18538	0.020248351739764803
4000	13131	0.018387592113813394
6929	22778	0.017964239367411514
1499	13555	0.017410670249001947
6774	93762	0.016730516716684338
409	216963	0.016102016578031127
4088	94221	0.015662442806491924
1616	14163	0.015316482030245007
5371	20473	0.015285495345813777
5925	53331	0.01507876390691366
11337	233908	0.014331963487819859
10971	24051	0.014231395107381117
891	12703	0.012954110506564148
4171	13385	0.012010026996171423
7916	12402	0.011961086234389006
4692	12461	0.011575100190205483
3064	13858	0.011271558389379871
8651	330914	0.010798481830516302
2260	18518	0.01042314549026876
23163	12468	0.010121811314694674
1277	17927	0.009724870013777776
3708	15461	0.009612316821065212
5111	66682	0.009283690885294075
4089	84092	0.008590911357874605
3791	71766	0.008428795191942264
10755	23885	0.008366448538831424
7917	15166	0.008297073798360272
904	245828	0.008271359527052444
1936	14083	0.008186501967735408
4904	67155	0.007945667142278554
3875	56717	0.00733615063558585
4286	12421	0.007289578638161472
1915	12952	0.00723862280412645
6635	20467	0.007138197171406994
6416	18786	0.006949619716471261
421	17349	0.006456613608268643
3838	18193	0.006387909918955054
1600	30957	0.0060520174800481
