human	mouse	weight
7329	20779	0.04699919955611863
2099	216963	0.04614740539921754
2547	16476	0.03595035383845813
596	11350	0.032645460212662854
10971	94221	0.03094894674859125
4000	19303	0.03038470772791485
23468	12466	0.02573431718649747
6606	21454	0.02405066696520971
6597	225870	0.022810508573714916
3064	19052	0.022150229352009835
3791	53331	0.0216265889133453
3984	20198	0.02051287169785671
11337	56307	0.020462027021390505
4692	12477	0.0201213200840022
7917	24051	0.020115825169644365
6929	15461	0.019650703265232085
1936	17475	0.01961162122374637
2260	12520	0.019411381670650818
8631	26904	0.01734478974880281
5788	12737	0.017340976294751415
3339	140559	0.017318587517696157
10036	15903	0.017309468804529746
1616	13858	0.01729042649736271
2252	20466	0.016956697629388187
240	22295	0.01655106482144071
3717	15982	0.016535126810995143
10287	20617	0.016514499960033728
2898	26400	0.015977815852469563
23406	50915	0.015255879149436186
3667	22195	0.015129938461231209
2897	15260	0.015012596044481998
4066	243833	0.014741665522939418
7531	20473	0.014465368710817005
2781	13555	0.013818401061353751
355	56717	0.013489243204365632
6386	12461	0.013436901654787479
4301	13368	0.013429715816194385
9463	14370	0.013381899273631143
10419	20382	0.013279343000835758
23390	11773	0.013202673837787794
2773	22030	0.01296341379842681
8651	22144	0.012853730850668689
4286	21349	0.01278575754291594
2775	30957	0.012686097368586233
4904	17125	0.012600024607201922
51588	72088	0.01248702959026217
708	13347	0.012154283818636962
8678	11546	0.012005647122779123
3084	21687	0.011917209389243004
5747	58244	0.011881999855122916
