human	mouse	weight
13418	1465	0.3667767563909652
19299	153	0.3667767563909652
93762	6521	0.3667767563909652
66682	10755	0.18911926501409143
17349	23647	0.10239720182202418
22601	23163	0.10237740299543957
15504	377	0.09840579720379007
22142	6635	0.09169884764517298
21417	27258	0.09169884764517298
12695	22950	0.06719441715333073
53424	7295	0.06424326939182776
24069	409	0.05249122578665449
217578	1277	0.046580543874712145
22631	23658	0.04584942382258649
76507	25804	0.04584942382258649
13385	2033	0.03943815054822791
18786	1600	0.03831265272985642
23885	1956	0.03781449553042316
18538	1017	0.03736158470912428
15185	1499	0.03325560822695123
22350	351	0.030748169877964613
27096	672	0.030361458221771578
22778	27236	0.026382596298832193
18627	5925	0.02060171550569057
11666	4171	0.020114283527426856
239985	375	0.019924920777491147
71766	405	0.018490958499574734
20924	6416	0.017497075262218168
14811	5111	0.017292316766266327
99152	3708	0.017010412472379884
20181	4926	0.017010412472379884
245828	6774	0.016630909300016396
433759	1387	0.016188277264080703
22330	2885	0.016174487642817318
19684	333	0.014342722032034457
13017	9146	0.012868032437057196
12753	5371	0.012748381273147464
18626	4088	0.012719354787976271
12952	1026	0.0114103446071836
16348	4999	0.01041619332130688
14812	891	0.00907291258574981
18193	4172	0.008840194030068116
13131	2318	0.008748537631109082
15166	7704	0.0075716378026808775
330914	6117	0.0074583384487388075
18708	7534	0.007377228413399355
78891	7251	0.007114861250696001
56210	5932	0.0063712136883649125
16854	1386	0.0061680217304012136
12402	993	0.006150395973293209
