human	mouse	weight
19299	153	0.2602444167610296
93762	6521	0.2602444167610296
13418	1465	0.2602444167610296
66682	10755	0.1951833125707722
22601	23163	0.1734962778406864
18786	1600	0.15180924311060062
99152	3708	0.13631850401768217
20181	4926	0.13631850401768217
18538	825	0.1301222083805148
15185	1499	0.1301222083805148
53424	7295	0.1301222083805148
24069	409	0.1301222083805148
15504	23647	0.10120616207373373
116848	1277	0.0975916562853861
245828	5664	0.0975916562853861
23885	4547	0.0975916562853861
15166	351	0.09625999625810015
22142	6635	0.0867481389203432
17349	27236	0.0867481389203432
21417	27258	0.0867481389203432
17927	377	0.07229011576695266
433759	421	0.07100704444814529
19684	333	0.0650611041902574
239985	375	0.0650611041902574
83797	2035	0.0650611041902574
52432	1956	0.062799479688492
14810	22950	0.05783209261356213
11666	4171	0.04773964138635771
14163	5371	0.0471399667681048
12703	1017	0.047136312433874276
16854	1386	0.04631622661935807
77945	7704	0.045042302900947434
14811	672	0.043550790359739196
13043	25804	0.0433740694601716
20924	5900	0.0433740694601716
13017	1839	0.0433740694601716
22631	23658	0.0433740694601716
15505	5111	0.0433740694601716
18708	2885	0.04122317685580255
14828	9146	0.03987370595987705
84092	1445	0.03861641136268628
18514	1387	0.038369702451218894
21677	2033	0.03803572244968895
18193	6118	0.03751575358503154
71766	6493	0.03717777382300423
12952	405	0.03568012487045408
18771	4088	0.03491472751432486
16348	4174	0.034616927164566526
56210	5932	0.03459598397418449
77053	6416	0.030361848622120127
