Q9NZ52	P38817	25.989	354	225	12	3	333	20	359	8.27e-19	88.2
Q9NZ52	P38817	27.434	113	66	5	606	714	480	580	0.16	32.3
P61204	P19146	75.138	181	45	0	1	181	1	181	2.36e-104	295
Q92624	P33412	24.638	69	51	1	248	316	117	184	0.90	29.6
Q99967	P35207	44.737	38	21	0	162	199	557	594	7.02e-04	38.1
Q99967	P35207	40.909	44	22	1	164	203	550	593	0.075	32.0
Q99967	P35207	36.364	66	33	3	162	218	566	631	0.80	28.5
Q99967	P35207	30.909	55	34	2	150	200	525	579	3.7	26.6
Q09472	Q03330	38.554	83	49	1	1074	1156	351	431	8.40e-14	73.6
P04114	P41832	23.967	121	84	3	4245	4363	1514	1628	0.010	39.7
P07333	Q01389	32.530	166	91	7	755	908	1280	1436	1.29e-18	89.0
P07333	Q01389	29.907	107	72	2	572	676	1165	1270	0.025	35.8
P48634	P40043	45.455	33	17	1	741	772	51	83	2.4	29.3
P38398	P10862	31.343	67	43	1	18	84	22	85	2.23e-05	46.6
P20807	P53238	24.528	159	107	2	668	820	177	328	3.07e-11	63.2
Q14643	P36006	23.273	275	178	11	1450	1704	507	768	0.14	35.0
P35222	P39968	23.361	244	178	7	154	394	130	367	1.58e-09	58.5
P35222	P39968	27.542	236	160	7	308	540	115	342	2.48e-07	51.6
P35222	P39968	23.944	355	248	14	133	477	25	367	6.28e-07	50.1
P49736	P29469	48.032	864	373	9	12	821	23	864	0.0	775
O43913	P50874	22.857	490	293	18	8	433	8	476	1.04e-14	73.2
P30304	P42937	29.134	127	75	8	356	473	8	128	2.82e-05	42.0
Q15642	P38822	18.707	294	218	2	4	285	8	292	5.91e-11	62.8
Q15642	P38822	32.759	58	38	1	543	599	496	553	4.46e-06	47.0
Q15642	P38822	33.898	59	38	1	539	597	576	633	4.63e-04	40.4
Q99708	Q08581	29.060	117	74	2	24	136	341	452	0.016	36.2
O14964	P40343	28.194	227	148	5	8	222	9	232	9.88e-28	116
P30281	P24869	25.967	181	129	2	57	237	261	436	5.96e-13	66.2
P07585	P36047	25.943	212	128	5	74	284	35	218	3.38e-07	48.9
P07585	P36047	28.000	200	118	8	79	257	87	281	0.002	37.0
Q14190	P20795	27.419	62	37	2	153	214	433	486	1.7	29.3
P81133	P53170	25.610	82	57	2	472	549	8	89	2.7	28.5
P27540	P17106	28.571	77	50	1	91	167	224	295	0.003	38.1
Q05516	P53968	34.409	93	52	1	517	600	568	660	6.86e-13	69.3
Q05516	P53968	31.868	91	52	2	461	542	569	658	1.20e-10	62.0
Q05516	P53968	35.556	90	49	2	546	626	569	658	1.25e-10	62.0
Q05516	P53968	27.857	140	83	5	390	516	526	660	4.36e-10	60.1
Q05516	P53968	36.364	66	28	2	574	632	569	627	7.63e-07	49.7
Q05516	P53968	40.000	35	19	2	602	635	569	602	0.15	32.7
P24522	P36148	42.857	28	14	1	115	140	62	89	4.5	25.0
Q9Y4Y9	P40089	51.220	82	35	2	11	87	5	86	3.36e-22	80.1
P29692	P32471	56.452	124	53	1	159	281	83	206	3.11e-32	115
Q86YN6	P32588	31.034	58	39	1	902	958	75	132	3.37e-04	41.6
P03372	P35187	28.235	85	56	2	226	305	199	283	0.094	33.1
P05556	P46951	38.776	49	29	1	294	342	68	115	2.9	28.9
O95166	P38182	55.172	116	52	0	1	116	1	116	4.68e-46	142
