prot_organism_1	prot_organism_2	bit-score
NP_011856.1	NP_976226.1	162.0
NP_011856.1	NP_002367.5	146.0
NP_011856.1	XP_016874525.1	105.0
NP_011856.1	NP_059995.2	97.1
NP_011856.1	NP_115811.2	93.2
NP_011856.1	XP_005257856.1	86.7
NP_011856.1	XP_011536527.1	86.7
NP_011856.1	XP_016858148.1	80.9
NP_011856.1	NP_006284.2	73.6
NP_011856.1	NP_004432.1	72.0
NP_011856.1	NP_114406.1	63.2
NP_011856.1	NP_002949.2	60.1
NP_011856.1	NP_001973.2	55.8
NP_011856.1	NP_938207.2	54.3
NP_011856.1	NP_065434.1	53.1
NP_011856.1	XP_011522118.1	42.0
NP_011856.1	XP_011525325.1	41.2
NP_013079.1	NP_932348.2	34.7
NP_010347.1	NP_004854.1	482.0
NP_010347.1	NP_954635.1	132.0
NP_010599.1	XP_016877827.1	38.9
NP_010599.1	XP_011543605.1	35.4
NP_013021.1	NP_740752.1	36.6
NP_009854.2	NP_653300.2	59.7
NP_009854.2	NP_653300.2	42.4
NP_010700.3	XP_016871918.1	30.4
NP_011835.1	NP_000928.1	38.5
NP_011835.1	NP_624358.2	32.3
NP_014828.1	NP_004209.2	103.0
NP_014828.1	NP_006825.1	83.6
NP_014828.1	XP_016863678.1	54.7
NP_014828.1	NP_775798.2	52.4
NP_014828.1	XP_016868740.1	34.3
NP_009421.3	NP_002547.1	271.0
NP_009421.3	NP_002547.1	78.6
NP_009421.3	NP_001131143.1	37.0
NP_009421.3	NP_062618.2	34.3
NP_009421.3	NP_115736.1	33.5
NP_013144.1	NP_859052.3	27.7
NP_013412.1	NP_002069.2	39.3
NP_014749.1	NP_803173.1	39.7
NP_014749.1	NP_003155.2	37.0
NP_014749.1	NP_001640.1	30.4
NP_015487.1	NP_976226.1	101.0
NP_015487.1	NP_002367.5	91.7
NP_015487.1	NP_004432.1	73.2
NP_015487.1	NP_006284.2	67.4
NP_015487.1	XP_011536527.1	59.3
NP_015487.1	XP_016858148.1	57.0
NP_015487.1	NP_115811.2	54.7
NP_015487.1	XP_016874525.1	48.5
NP_015487.1	NP_002949.2	48.5
NP_015487.1	NP_059995.2	48.1
NP_015487.1	NP_001973.2	48.1
NP_015487.1	NP_065434.1	44.7
NP_015487.1	XP_005257856.1	38.1
NP_015487.1	XP_011522118.1	38.5
NP_015487.1	NP_938207.2	38.5
NP_015487.1	XP_011525325.1	37.0
NP_014986.3	NP_000928.1	365.0
NP_014986.3	NP_000928.1	91.7
NP_014986.3	NP_000928.1	84.0
NP_011348.1	NP_653300.2	365.0
NP_010717.1	NP_003080.2	48.1
NP_010717.1	NP_003243.1	40.4
NP_010717.1	NP_006796.1	37.4
NP_010717.1	NP_006796.1	33.5
NP_010717.1	NP_631961.1	36.2
NP_010717.1	NP_057732.2	33.5
NP_012913.3	XP_016878370.1	42.0
NP_012913.3	XP_016878370.1	39.7
NP_014508.1	XP_011543605.1	34.7
NP_014508.1	XP_016877827.1	30.0
NP_014508.1	XP_016865588.1	29.3
NP_011648.3	XP_016880252.1	313.0
NP_014377.1	NP_114408.3	271.0
NP_014377.1	NP_114408.3	33.9
NP_012655.3	NP_861455.1	33.1
NP_009647.2	NP_008874.2	36.6
NP_013543.3	NP_057284.1	34.7
NP_014910.1	NP_002367.5	90.5
NP_014910.1	NP_002367.5	36.2
NP_014910.1	NP_976226.1	89.0
NP_014910.1	XP_016874525.1	70.9
NP_014910.1	NP_059995.2	65.1
NP_014910.1	NP_004432.1	55.1
NP_014910.1	XP_016858148.1	53.9
NP_014910.1	NP_006284.2	50.1
NP_014910.1	NP_114406.1	44.3
NP_014910.1	XP_005257856.1	40.8
NP_014910.1	XP_011536527.1	40.4
NP_014910.1	XP_011522118.1	39.3
NP_014910.1	NP_001973.2	38.1
NP_014910.1	NP_938207.2	35.8
NP_014910.1	NP_689838.1	33.5
NP_014910.1	NP_065434.1	33.5
NP_015514.1	NP_067046.1	48.9
NP_015437.1	NP_006796.1	56.2
NP_015437.1	NP_006796.1	35.4
NP_015437.1	NP_006796.1	32.0
NP_015437.1	NP_003243.1	50.4
NP_015437.1	NP_003243.1	50.1
NP_015437.1	NP_003243.1	49.7
NP_015437.1	NP_003243.1	40.8
NP_015437.1	NP_003243.1	36.6
NP_015437.1	NP_003080.2	45.1
NP_015437.1	NP_003080.2	33.9
NP_015437.1	NP_055298.2	40.4
NP_015437.1	NP_055298.2	37.4
NP_015437.1	NP_055298.2	36.6
NP_015437.1	NP_001013653.1	34.3
NP_015437.1	NP_001013653.1	33.5
NP_012171.1	NP_002367.5	74.7
NP_012171.1	NP_114406.1	57.0
NP_012171.1	XP_016874525.1	57.0
NP_012171.1	NP_059995.2	56.2
NP_012171.1	NP_976226.1	54.7
NP_012171.1	XP_016858148.1	52.4
NP_012171.1	NP_065434.1	49.3
NP_012171.1	XP_011536527.1	45.8
NP_012171.1	NP_115811.2	45.1
NP_012171.1	NP_004432.1	44.3
NP_012171.1	XP_005257856.1	41.2
NP_012171.1	NP_006284.2	39.7
NP_012171.1	NP_001973.2	39.3
NP_011872.1	NP_061917.3	30.0
NP_116659.1	XP_016885327.1	55.8
NP_116659.1	NP_056081.1	30.0
NP_014573.1	NP_004987.2	31.2
NP_013737.1	XP_011535722.1	30.4
NP_116620.1	XP_016874525.1	166.0
NP_116620.1	XP_016874525.1	115.0
NP_116620.1	NP_059995.2	135.0
NP_116620.1	NP_059995.2	107.0
NP_116620.1	NP_002367.5	102.0
NP_116620.1	NP_002367.5	63.5
NP_116620.1	NP_976226.1	79.7
NP_116620.1	NP_976226.1	47.0
NP_116620.1	NP_114406.1	63.9
NP_116620.1	NP_114406.1	33.5
NP_116620.1	XP_016858148.1	62.4
NP_116620.1	XP_016858148.1	59.7
NP_116620.1	NP_004432.1	59.7
NP_116620.1	NP_006284.2	55.1
NP_116620.1	XP_011536527.1	53.9
NP_116620.1	NP_001973.2	48.9
NP_116620.1	NP_115811.2	43.9
NP_116620.1	XP_011522118.1	37.7
NP_116620.1	NP_002949.2	37.0
NP_009655.2	NP_002367.5	55.8
NP_009655.2	NP_004432.1	45.1
NP_009655.2	NP_976226.1	42.0
NP_009655.2	XP_011536527.1	37.7
NP_009655.2	NP_114406.1	36.2
NP_009655.2	XP_016874525.1	35.8
NP_013514.1	NP_056031.2	379.0
NP_013514.1	NP_056031.2	69.3
NP_011987.1	XP_016857274.1	99.4
NP_015033.1	XP_016863256.1	95.9
NP_010651.3	XP_011536527.1	27.3
NP_011853.1	XP_011543605.1	45.8
NP_011853.1	XP_016865588.1	39.7
NP_011853.1	XP_016877827.1	39.3
NP_011853.1	NP_060904.2	37.7
NP_010998.2	XP_016870446.1	64.7
NP_010998.2	XP_016870446.1	49.3
NP_010998.2	NP_002824.1	59.3
NP_010998.2	NP_002824.1	47.8
NP_010998.2	XP_011522536.1	32.3
NP_015436.1	XP_016874525.1	248.0
NP_015436.1	NP_059995.2	182.0
NP_015436.1	NP_002367.5	106.0
NP_015436.1	NP_976226.1	81.3
NP_015436.1	XP_016858148.1	75.9
NP_015436.1	NP_114406.1	60.5
NP_015436.1	XP_011536527.1	45.1
NP_015436.1	NP_004432.1	40.4
NP_015436.1	NP_115811.2	40.0
NP_015436.1	NP_006284.2	39.7
NP_015436.1	NP_001973.2	38.5
NP_015436.1	XP_005257856.1	34.7
NP_015436.1	NP_002949.2	32.0
NP_015436.1	NP_065434.1	32.0
NP_013866.1	NP_059830.1	47.4
NP_013866.1	XP_016867294.1	45.1
NP_013866.1	XP_011526902.1	41.6
NP_013866.1	XP_011526902.1	36.6
NP_013866.1	NP_065959.1	35.4
NP_009552.1	NP_734466.1	194.0
NP_009552.1	NP_002096.1	192.0
